,names,abbr
1,ALL US,US
2,ALABAMA,AL
3,ALASKA,AK
4,ARIZONA,AZ
5,ARKANSAS,AR
6,CALIFORNIA,CA
7,COLORADO,CO
8,CONNECTICUT,CT
9,DELAWARE,DE
10,DISTRICT OF COLUMBIA,DC
11,FLORIDA,FL
12,GEORGIA,GA
13,HAWAII,HI
14,IDAHO,ID
15,ILLINOIS,IL
16,INDIANA,IN
17,IOWA,IA
18,KANSAS,KS
19,KENTUCKY,KY
20,LOUISIANA,LA
21,MAINE,ME
22,MARYLAND,MD
23,MASSACHUSETTS,MA
24,MICHIGAN,MI
25,MINNESOTA,MN
26,MISSISSIPPI,MS
27,MISSOURI,MO
28,MONTANA,MT
29,NEBRASKA,NE
30,NEVADA,NV
31,NEW HAMPSHIRE,NH
32,NEW JERSEY,NJ
33,NEW MEXICO,NM
34,NEW YORK,NY
35,NORTH CAROLINA,NC
36,NORTH DAKOTA,ND
37,OHIO,OH
38,OKLAHOMA,OK
39,OREGON,OR
40,PENNSYLVANIA,PA
41,RHODE ISLAND,RI
42,SOUTH CAROLINA,SC
43,SOUTH DAKOTA,SD
44,TENNESSEE,TN
45,TEXAS,TX
46,UTAH,UT
47,VERMONT,VT
48,VIRGINIA,VA
49,WASHINGTON,WA
50,WEST VIRGINIA,WV
51,WISCONSIN,WI
52,WYOMING,WY
